point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
3_2_4_1,3,2,4,1,31798,43970,31798,AdCourt,NA,NA,NA,,,,1,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,1,0,0,2,1
3_2_5_1,3,2,5,1,31798,43970,43970,DeuceCourt,193 KPH,Flat,NA,11.132,0.535,3.031,2,Winner,NA,False,Ground,ForeHand,1.47 Metre,Cross Court,NA,False,False,True,-5.791,-3.499,0.035,Wide,,,,-12.098,-5.167,1.399,9.951,2.411,0.042,-12.098,-5.167,1.399,0.0,-0.961,1.466,9.951,2.411,0.042,1309.62,0,0,0,0,0,1,3,1
3_2_6_1,3,2,6,1,31798,43970,31798,AdCourt,203 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1309.62,0,0,0,0,0,0,3,2
3_3_1_1,3,3,1,1,43970,31798,31798,DeuceCourt,197 KPH,Flat,NA,-11.598,-0.739,2.936,2,Forced Error,NA,True,Volley,ForeHand,0.64 Metre,NA,NA,False,False,True,6.197,3.732,0.03,Wide,,,,-12.019,-2.87,0.183,,,,12.516,5.413,1.328,0.0,1.119,2.142,-11.536,-2.705,0.039,NA,0,0,0,0,0,0,0,0
3_3_2_1,3,3,2,1,43970,31798,43970,AdCourt,196 KPH,Kick,NA,-11.605,1.352,2.923,3,Forced Error,NA,False,Ground,ForeHand,3.44 Metre,NA,NA,False,False,True,5.41,-3.387,0.03,Wide,,,,15.284,3.59,1.298,-12.885,-3.91,0.037,12.559,-5.249,1.524,0.0,-1.1,2.703,-10.986,2.75,0.04,NA,0,0,0,0,0,0,0,1
3_3_3_1,3,3,3,1,43970,31798,43970,DeuceCourt,167 KPH,NA,NA,,,,3,Unforced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,1,1
NA,3,3,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,1
3_3_4_2,3,3,4,2,43970,31798,43970,AdCourt,196 KPH,NA,NA,,,,5,Unforced Error,NA,False,Ground,ForeHand,3.44 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,2,1
3_3_5_1,3,3,5,1,43970,31798,43970,DeuceCourt,163 KPH,NA,NA,-11.692,-0.695,2.936,11,NA,NA,False,NA,ForeHand,0.37 Metre,NA,NA,False,False,True,-2.483,-0.404,0.044,T,,,,0.143,-0.413,0.86,-2.483,-0.404,0.044,0.143,-0.413,0.86,-0.0,-0.436,0.369,-2.483,-0.404,0.044,NA,0,0,0,0,0,0,3,1
3_4_1_1,3,4,1,1,31798,43970,43970,DeuceCourt,163 KPH,NA,NA,,,,2,Winner,NA,False,NA,ForeHand,0.37 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,0,0
NA,3,4,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,1
3_4_2_2,3,4,2,2,31798,43970,43970,AdCourt,190 KPH,Kick,NA,-11.242,0.849,3.097,2,Unforced Error,NA,True,Ground,BackHand,1.15 Metre,NA,NA,False,False,True,4.118,-1.031,0.04,T,,,,-11.272,2.122,0.777,-0.079,-0.676,0.04,10.656,-1.823,1.536,0.0,-0.018,1.151,-6.059,1.098,0.029,2000.52,0,0,0,0,0,0,0,1
3_4_3_1,3,4,3,1,31798,43970,31798,DeuceCourt,195 KPH,NA,NA,,,,7,Winner,NA,False,Ground,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1309.62,0,0,0,0,0,0,0,2
3_4_4_1,3,4,4,1,31798,43970,43970,AdCourt,196.58 KPH,Flat,NA,-11.066,0.914,3.13,12,Unforced Error,NA,True,NA,BackHand,1.96 Metre,NA,NA,False,False,True,5.36,-3.393,0.031,Wide,,,,-5.617,0.779,1.166,-0.131,1.627,0.04,12.465,-5.171,1.331,0.0,-1.344,1.878,-10.004,1.352,0.041,NA,0,0,0,0,0,0,1,2
3_4_5_1,3,4,5,1,31798,43970,43970,DeuceCourt,201 KPH,Kick,NA,-11.079,-0.664,3.073,8,Unforced Error,NA,False,Ground,ForeHand,1.55 Metre,NA,NA,True,True,True,5.552,0.303,0.042,T,,,,14.289,-4.319,1.044,-6.828,-0.997,0.035,-9.968,-1.212,2.522,0.0,-2.309,1.666,7.591,-3.545,0.032,3109.74,0,0,0,0,0,0,1,3
NA,3,5,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
3_5_1_2,3,5,1,2,43970,31798,31798,DeuceCourt,156 KPH,Pronated,NA,11.564,0.41,2.865,6,Winner,NA,False,Overhead,ForeHand,2.1 Metre,Down the Line,NA,False,False,True,-5.563,-2.046,0.034,Body,,,,-3.904,-2.317,2.56,11.874,-3.109,0.037,-10.978,-2.686,1.565,0.008,-1.602,0.99,2.281,-1.018,0.039,NA,0,0,0,0,0,0,0,0
3_5_2_1,3,5,2,1,43970,31798,43970,AdCourt,189 KPH,Flat,NA,11.491,-1.271,2.948,5,Unforced Error,NA,True,Ground,ForeHand,0.3 Metre,NA,Net Error,False,False,True,-5.689,2.695,0.026,Body,,,,-14.96,-2.703,1.26,,,,-12.665,4.081,1.233,-0.0,0.549,2.263,10.211,-2.399,0.039,2473.74,0,0,0,0,0,0,0,1
3_5_3_1,3,5,3,1,43970,31798,43970,DeuceCourt,189 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Ground,BackHand,0.3 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2473.74,1,0,0,0,0,0,1,1
3_5_3_2,3,5,3,2,43970,31798,43970,DeuceCourt,189 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,0.3 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2473.74,0,0,0,0,0,0,1,1
3_5_4_1,3,5,4,1,43970,31798,31798,AdCourt,172 KPH,Kick,NA,11.561,-1.344,2.941,2,Unforced Error,NA,True,Ground,BackHand,1.77 Metre,NA,NA,False,False,True,-4.638,2.615,0.028,Body,,,,10.813,-3.69,0.789,,,,-12.05,4.381,1.691,-0.0,0.386,1.774,8.121,-2.538,0.033,3176.52,0,0,0,0,0,0,2,1
