point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_1_5_1,2,1,5,1,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,202.11 KPH,Flat,0.04 Metre,-11.335,-0.771,2.828,0,Faulty Serve,Long Error,False,NA,ForeHand,1.22 Metre,NA,NA,False,False,True,6.444,-0.152,0.031,T,1.217,-0.0,-0.415,-11.335,-0.771,2.828,6.444,-0.152,0.031,,,,,,,,,,0,1,0,0,0,0,1,2,2
2_1_5_2,2,1,5,2,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,163 KPH,Slice,NA,-11.477,-0.473,2.813,6,Unforced Error,NA,True,Ground,ForeHand,0.86 Metre,NA,Net Error,False,False,True,5.611,3.536,0.036,Wide,1.351,0.0,1.95,-14.813,-2.63,0.99,-0.136,1.377,0.032,16.028,6.686,1.476,0.0,3.708,2.836,-11.376,1.784,0.037,2335.8,0,0,0,0,0,0,2,2
2_1_6_1,2,1,6,1,ATPTB69,ATPAG37,ATPTB69,AdCourt,203 KPH,Flat,NA,-11.296,1.153,2.814,1,Forced Error,NA,False,Ground,ForeHand,3.55 Metre,NA,NA,True,False,True,5.814,-0.142,0.033,T,1.143,-0.0,0.243,14.872,-0.572,1.125,-12.04,-2.5,0.035,14.872,-0.572,1.125,0.0,-1.47,3.552,-12.04,-2.5,0.035,1416.48,0,0,0,0,0,0,2,3
2_1_7_1,2,1,7,1,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,172 KPH,Slice,NA,-11.484,-0.488,2.794,7,Winner,NA,False,Overhead,ForeHand,1.44 Metre,Down the Line,NA,False,False,True,4.889,3.962,0.036,Wide,1.133,0.0,2.454,-4.367,-1.754,2.675,4.548,-2.813,0.037,12.883,6.619,1.369,0.0,1.654,1.469,-8.014,-1.316,0.032,NA,0,0,0,0,0,0,3,3
2_1_8_1,2,1,8,1,ATPTB69,ATPAG37,ATPAG37,AdCourt,195 KPH,Flat,NA,-11.364,1.133,2.867,4,Winner,NA,False,Passing,ForeHand,1.67 Metre,Down the Line,NA,False,False,True,5.61,-3.875,0.035,Wide,1.151,-0.0,-2.294,15.15,3.346,0.912,-8.707,3.825,0.036,13.742,-6.072,1.188,0.0,-1.689,5.322,5.523,2.318,0.036,2125.68,0,0,0,0,0,0,4,3
2_1_9_1,2,1,9,1,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,158 KPH,Kick,NA,-11.483,-0.678,2.812,2,Unforced Error,NA,True,Ground,ForeHand,0.62 Metre,NA,Net Error,False,False,True,4.674,3.945,0.036,Wide,1.146,-0.0,2.361,-12.056,-4.173,1.569,-0.281,3.08,0.037,12.802,6.884,1.613,0.0,1.122,2.694,-8.987,-2.793,0.034,3149.34,0,0,0,0,0,0,4,4
2_1_10_1,2,1,10,1,ATPTB69,ATPAG37,ATPTB69,AdCourt,198 KPH,Flat,NA,-11.338,1.161,2.818,1,Ace,NA,False,NA,ForeHand,1.04 Metre,Cross Court,NA,True,False,True,5.027,-4.114,0.036,Wide,1.041,0.0,-2.525,-11.338,1.161,2.818,5.027,-4.114,0.036,,,,,,,,,,0,0,0,0,1,0,0,4,5
2_1_11_1,2,1,11,1,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,169 KPH,Slice,NA,-11.297,-0.567,2.835,1,Forced Error,NA,False,Ground,ForeHand,2.12 Metre,NA,NA,False,False,True,5.167,3.519,0.036,Wide,1.199,0.0,2.015,12.721,6.02,1.51,-12.233,-4.615,0.035,12.721,6.02,1.51,0.0,0.093,2.115,-12.233,-4.615,0.035,1768.56,0,0,0,0,0,1,5,5
2_2_1_1,2,2,1,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,192.65 KPH,Slice,0.13 Metre,-11.061,-1.076,2.949,0,Faulty Serve,Long Error,False,NA,ForeHand,1.31 Metre,NA,NA,False,False,True,6.531,4.025,0.035,Wide,1.313,-0.0,1.97,-11.061,-1.076,2.949,6.531,4.025,0.035,,,,,,,,,,0,1,0,0,0,0,0,0,0
2_2_1_2,2,2,1,2,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,155 KPH,Slice,NA,-11.257,-0.844,2.992,1,Unforced Error,NA,False,Ground,ForeHand,2.57 Metre,NA,Long Error,False,False,True,3.614,0.91,0.033,T,0.963,0.0,0.317,17.442,3.822,0.887,-11.956,3.952,0.036,17.442,3.822,0.887,0.0,3.874,2.573,-11.956,3.952,0.036,3172.2,0,0,0,0,0,0,0,0
